region	id	gs25	cu	7_11	emart	total	population	worker
종로구	11110	33	91	75	22	221	151290	265017
중구	11140	43	99	96	38	276	126171	390530
용산구	11170	28	73	52	24	177	228670	141216
성동구	11200	31	90	45	37	203	300889	174819
광진구	11215	44	110	65	28	247	351350	127879
동대문구	11230	36	106	79	20	241	346194	140748
중랑구	11260	33	83	48	21	185	397015	103016
성북구	11290	28	85	64	20	197	442650	108201
강북구	11305	51	74	50	16	191	313954	72418
도봉구	11320	35	67	48	15	165	333362	74314
노원구	11350	49	93	61	22	225	532905	118713
은평구	11380	57	95	65	29	246	480032	90049
서대문구	11410	37	107	58	28	230	309397	109490
마포구	11440	59	124	110	29	322	374035	255152
양천구	11470	40	81	55	33	209	458165	123311
강서구	11500	55	156	103	43	357	591796	248204
구로구	11530	34	91	58	25	208	406664	218070
금천구	11545	26	86	40	22	174	232810	234012
영등포구	11560	67	119	82	42	310	367678	367557
동작구	11590	44	81	55	24	204	395963	112564
관악구	11620	46	128	92	34	300	500094	113944
서초구	11650	46	119	98	48	311	430826	438733
강남구	11680	90	199	173	67	529	545169	694136
송파구	11710	60	142	123	43	368	675961	342853
강동구	11740	41	93	72	27	233	436067	145990
