Region	id	Total	TotalR	Murder	MurderR	Robber	RobberR	Rape	RapeR	Theft	TheftR	Force	ForceR
종로구	11110	3846	107.05	4	125	7	114.2857143	238	480	1515	71	2082	91
중구	11140	4327	64.80	2	50	6	83.33333333	195	58.97435897	2202	48	1922	85
용산구	11170	3313	78.81	3	100	3	133.3333333	272	87.13235294	999	54.45445445	2036	90
성동구	11200	2512	73.17	6	83.33333333	9	111.1111111	133	72.18045113	970	52.68041237	1394	87
광진구	11215	4011	70.21	4	125	6	83.33333333	273	78.02197802	1875	54	1853	86
동대문구	11230	3692	76.33	6	100	10	90	168	85.11904762	1531	54.01698236	1977	93
중랑구	11260	4268	73.52	10	100	4	125	138	78.26086957	1666	54.50180072	2450	86
성북구	11290	2877	80.74	3	100	3	100	176	73.86363636	1082	67.56007394	1613	90
강북구	11305	3838	78.76	6	100	3	66.66666667	176	82.38636364	1229	54.02766477	2424	91
도봉구	11320	2110	70.95	1	100	5	100	90	92.22222222	790	49.87341772	1224	83
노원구	11350	4153	71.37	4	100	3	100	184	85.86956522	1498	45.46061415	2464	86
은평구	11380	3880	77.32	3	100	1	100	194	83.50515464	1565	62.42811502	2117	88
서대문구	11410	2943	68.64	2	50	5	100	175	88	1226	48.93964111	1535	82
마포구	11440	4842	65.47	2	100	2	100	495	84.24242424	2190	41.87214612	2153	85
양천구	11470	3214	66.09	6	100	2	100	127	88.18897638	1477	42.92484766	1602	86
강서구	11500	4924	71.95	8	112.5	3	133.3333333	306	83.9869281	2050	53	2557	86
구로구	11530	4707	69.92	10	90	3	133.3333333	226	73.00884956	1916	50.36534447	2552	84
금천구	11545	3105	75.46	6	100	10	60	153	82.35294118	1157	53.15471046	1779	89
영등포구	11560	5820	65.07	10	100	3	100	356	67.13483146	2409	44	3042	81
동작구	11590	3400	64.56	4	50	1	100	251	43.8247012	1328	43.59939759	1816	83
관악구	11620	5328	71.51	13	76.92307692	10	110	408	82.10784314	2223	49	2674	89
서초구	11650	5542	67.67	5	100	7	71.42857143	616	66.88311688	2270	49	2644	84
강남구	11680	7304	69.40	5	60	5	120	666	84.38438438	2970	45	3658	86
송파구	11710	5698	66.67	7	114.2857143	10	100	273	84.24908425	2416	42	2992	85
강동구	11740	4014	73.62	6	83.33333333	15	93.33333333	180	86.11111111	1650	54.96969697	2163	87
