Region	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	B	F
종로구	148	173	198	164	163	164	226	220	240	317	307	426	313	351	345	13.861	4.5429
중구	220	171	233	194	178	262	397	391	304	422	377	415	356	396	329	25.648	-13.343
용산구	74	82	81	117	81	103	142	187	189	231	269	267	319	415	401	21.036	38.286
성동구	78	85	96	97	96	95	111	123	117	126	187	249	200	209	192	4.8452	9.9143
광진구	111	128	136	160	160	195	249	298	273	316	328	368	375	426	347	24.073	13.029
동대문구	117	119	115	122	121	129	182	235	170	214	210	231	241	230	221	12.23	3
중랑구	100	103	116	81	116	127	189	217	187	196	205	333	209	219	223	13.89	1.5143
성북구	120	133	134	116	137	151	171	192	187	213	220	265	217	258	284	10.026	12.029
강북구	107	121	92	128	122	141	175	182	155	208	220	216	254	272	248	10.648	11.257
도봉구	68	45	78	74	86	106	97	108	84	99	208	153	186	142	165	4.7939	4.7143
노원구	130	104	115	128	116	131	166	205	184	250	294	318	208	252	271	13.448	-3.7429
은평구	104	84	102	117	96	106	151	178	189	177	222	288	213	300	280	11.418	19.257
서대문구	102	112	142	128	128	160	150	177	424	533	867	215	218	251	260	38.4	-91.714
마포구	90	116	130	158	118	138	226	223	279	365	423	675	688	785	718	26.091	81.829
양천구	77	79	73	93	83	103	121	154	125	153	241	337	184	239	173	9.1818	-1.6857
강서구	120	122	142	136	139	152	231	238	210	303	308	340	344	414	389	18.43	21.486
구로구	158	170	207	193	221	230	271	407	289	319	426	535	408	509	373	21.36	11.2
금천구	78	60	72	73	98	86	126	124	126	183	250	218	220	313	255	10.994	15.743
영등포구	130	126	177	141	157	161	275	279	306	349	352	501	481	654	547	25.133	53.6
동작구	128	175	165	151	172	209	302	293	227	305	437	507	428	524	396	18.709	18.2
관악구	211	187	235	247	231	297	434	401	377	446	471	423	420	534	504	29.709	13.6
서초구	196	191	205	214	212	209	378	408	346	471	448	604	600	662	615	30.691	38.8
강남구	210	214	252	284	294	308	434	528	546	664	761	1098	788	1031	973	50.024	58.429
송파구	128	145	185	156	177	193	280	313	282	336	383	373	314	396	493	23.388	21.857
강동구	105	95	117	105	114	139	187	208	176	200	180	210	206	232	220	13.018	7.2
