Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
종로,148,173,198,164,163,164,226,220,240,317,307,426,313,351,345
중구,220,171,233,194,178,262,397,391,304,422,377,415,356,396,329
용산,74,82,81,117,81,103,142,187,189,231,269,267,319,415,401
성동,78,85,96,97,96,95,111,123,117,126,187,249,200,209,192
광진,111,128,136,160,160,195,249,298,273,316,328,368,375,426,347
동대문,117,119,115,122,121,129,182,235,170,214,210,231,241,230,221
중랑,100,103,116,81,116,127,189,217,187,196,205,333,209,219,223
성북,120,133,134,116,137,151,171,192,187,213,220,265,217,258,284
강북,107,121,92,128,122,141,175,182,155,208,220,216,254,272,248
도봉,68,45,78,74,86,106,97,108,84,99,208,153,186,142,165
노원,130,104,115,128,116,131,166,205,184,250,294,318,208,252,271
은평,104,84,102,117,96,106,151,178,189,177,222,288,213,300,280
서대문,102,112,142,128,128,160,150,177,424,533,867,215,218,251,260
마포,90,116,130,158,118,138,226,223,279,365,423,675,688,785,718
양천,77,79,73,93,83,103,121,154,125,153,241,337,184,239,173
강서,120,122,142,136,139,152,231,238,210,303,308,340,344,414,389
구로,158,170,207,193,221,230,271,407,289,319,426,535,408,509,373
금천,78,60,72,73,98,86,126,124,126,183,250,218,220,313,255
영등포,130,126,177,141,157,161,275,279,306,349,352,501,481,654,547
동작,128,175,165,151,172,209,302,293,227,305,437,507,428,524,396
관악,211,187,235,247,231,297,434,401,377,446,471,423,420,534,504
서초,196,191,205,214,212,209,378,408,346,471,448,604,600,662,615
강남,210,214,252,284,294,308,434,528,546,664,761,1098,788,1031,973
송파,128,145,185,156,177,193,280,313,282,336,383,373,314,396,493
강동,105,95,117,105,114,139,187,208,176,200,180,210,206,232,220
