Region	id	Total	Family	Neighbor	Friend	Public	Stranger	Foreign
종로구	11110	5.01	8.54	4.92	6.97	5.07	2.31	2.27
중구	11140	5.24	8.59	5.18	6.84	5.24	2.92	2.67
용산구	11170	4.93	8.36	4.81	6.57	5.15	2.21	2.51
성동구	11200	5.24	8.43	5.17	6.9	5.26	2.69	2.97
광진구	11215	5.51	8.88	5.35	7.33	5.81	2.68	2.98
동대문구	11230	5.15	8.65	5.16	7.14	4.83	2.61	2.5
중랑구	11260	5.12	8.61	4.93	7.24	5.52	2.07	2.36
성북구	11290	4.89	8.44	4.76	6.6	4.91	2.31	2.32
강북구	11305	5.24	8.96	5.04	7.45	4.81	2.49	2.68
도봉구	11320	5.83	8.94	5.6	7.56	5.79	3.41	3.7
노원구	11350	5.68	9.01	5.41	7.65	5.58	3.11	3.3
은평구	11380	5.13	9	5.04	7.26	4.91	2.18	2.41
서대문구	11410	5.37	8.88	5.63	7.2	5.04	2.94	2.54
마포구	11440	5.05	8.98	4.83	6.93	5.63	2.12	1.83
양천구	11470	5.87	8.42	5.52	6.99	5.81	4.32	4.17
강서구	11500	5.39	8.43	4.9	6.69	5.82	3.31	3.16
구로구	11530	5.18	8.49	5.29	7.14	5.48	2.53	2.12
금천구	11545	5.4	8.83	5.35	7.48	5.72	2.5	2.5
영등포구	11560	5.29	8.68	5.44	7.32	5.55	2.38	2.35
동작구	11590	5.08	8.84	5.13	6.94	4.94	2.34	2.32
관악구	11620	5.31	8.82	5.1	7.34	5.44	2.6	2.58
서초구	11650	5.17	8.94	4.91	7.04	5.12	2.52	2.51
강남구	11680	5.45	8.94	5.43	7.61	5.55	2.36	2.78
송파구	11710	5.59	8.68	5.35	7.2	5.74	3.27	3.26
강동구	11740	5.32	8.9	4.96	7.01	5.69	2.58	2.78
